address,state,measure,cmap,zoom,stroke_width,time_start,time_end,measurement_value,time_resolution,width,height,dpi,bleed,border,mat_color,colorspace,prefix,geo_range,flag
"Alabama, United States of America",AL,tcdc,Greys,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"30.1941,35.0079,-88.4731,-84.8884",
"Alaska, United States of America",AK,tcdc,Greys,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"51.2097,71.441,-179.1505,-129.9795",
"Arizona, United States of America",AZ,tcdc,Greys,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"31.332,37.0037,-114.8164,-109.045",
"Arkansas, United States of America",AR,tcdc,Greys,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"33.0042,36.4996,-94.6192,-89.6419",
"California, United States of America",CA,tcdc,Greys,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"32.5343,42.0095,-124.4096,-114.1308",
"Colorado, United States of America",CO,tcdc,Greys,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"36.9923,41.0035,-109.0604,-102.0415",
"Connecticut, United States of America",CT,tcdc,Greys,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"40.9805,42.0504,-73.7279,-71.7872",
"Delaware, United States of America",DE,tcdc,Greys,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"38.451,39.8395,-75.7886,-75.0489",
"Florida, United States of America",FL,tcdc,Greys,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"24.521,31.001,-87.6348,-80.0307",
"Georgia, United States of America",GA,tcdc,Greys,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"30.3556,35.0009,-85.6052,-80.8407",
"Hawaii, United States of America",HI,tcdc,Greys,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"18.9117,22.2356,-160.2471,-154.8066",
"Idaho, United States of America",ID,tcdc,Greys,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"41.988,49.0009,-117.2431,-111.0434",
"Illinois, United States of America",IL,tcdc,Greys,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"36.9701,42.5084,-91.5129,-87.4952",
