address,state,measure,cmap,zoom,stroke_width,time_start,time_end,measurement_value,time_resolution,width,height,dpi,bleed,border,mat_color,colorspace,prefix,geo_range,flag
"Alabama, United States of America",AL,tcdc,Accent,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"30.1941,35.0079,-88.4731,-84.8884",
"Alabama, United States of America",AL,tcdc,afmhot,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"30.1941,35.0079,-88.4731,-84.8884",
"Alabama, United States of America",AL,tcdc,Blues,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"30.1941,35.0079,-88.4731,-84.8884",
"Alabama, United States of America",AL,tcdc,BrBG,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"30.1941,35.0079,-88.4731,-84.8884",
"Alabama, United States of America",AL,tcdc,BuGn_r,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"30.1941,35.0079,-88.4731,-84.8884",
"Alabama, United States of America",AL,tcdc,BuPu_r,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"30.1941,35.0079,-88.4731,-84.8884",
"Alabama, United States of America",AL,tcdc,CMRmap,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"30.1941,35.0079,-88.4731,-84.8884",
"Alabama, United States of America",AL,tcdc,cool_r,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"30.1941,35.0079,-88.4731,-84.8884",
"Alabama, United States of America",AL,tcdc,coolwarm_r,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"30.1941,35.0079,-88.4731,-84.8884",
"Alabama, United States of America",AL,tcdc,copper_r,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"30.1941,35.0079,-88.4731,-84.8884",
"Alabama, United States of America",AL,tcdc,flag,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"30.1941,35.0079,-88.4731,-84.8884",
"Alabama, United States of America",AL,tcdc,gist_earth,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"30.1941,35.0079,-88.4731,-84.8884",
"Alabama, United States of America",AL,tcdc,gist_heat_r,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"30.1941,35.0079,-88.4731,-84.8884",
"Alabama, United States of America",AL,tcdc,gist_ncar,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"30.1941,35.0079,-88.4731,-84.8884",
"Alabama, United States of America",AL,tcdc,gist_stern_r,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"30.1941,35.0079,-88.4731,-84.8884",
"Alabama, United States of America",AL,tcdc,gist_yarg,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"30.1941,35.0079,-88.4731,-84.8884",
"Alabama, United States of America",AL,tcdc,Greys,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"30.1941,35.0079,-88.4731,-84.8884",
"Alabama, United States of America",AL,tcdc,ocean_r,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"30.1941,35.0079,-88.4731,-84.8884",
"Alabama, United States of America",AL,tcdc,winter_r,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"30.1941,35.0079,-88.4731,-84.8884",
"Alabama, United States of America",AL,tcdc,YlGnBu,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"30.1941,35.0079,-88.4731,-84.8884",
"Washington, United States of America",Washington,tcdc,Accent,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"45.5437,49.0049,-124.7494,-116.9161",
"Washington, United States of America",Washington,tcdc,afmhot,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"45.5437,49.0049,-124.7494,-116.9161",
"Washington, United States of America",Washington,tcdc,Blues,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"45.5437,49.0049,-124.7494,-116.9161",
"Washington, United States of America",Washington,tcdc,BrBG,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"45.5437,49.0049,-124.7494,-116.9161",
"Washington, United States of America",Washington,tcdc,BuGn_r,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"45.5437,49.0049,-124.7494,-116.9161",
"Washington, United States of America",Washington,tcdc,BuPu_r,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"45.5437,49.0049,-124.7494,-116.9161",
"Washington, United States of America",Washington,tcdc,CMRmap,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"45.5437,49.0049,-124.7494,-116.9161",
"Washington, United States of America",Washington,tcdc,cool_r,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"45.5437,49.0049,-124.7494,-116.9161",
"Washington, United States of America",Washington,tcdc,coolwarm_r,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"45.5437,49.0049,-124.7494,-116.9161",
"Washington, United States of America",Washington,tcdc,copper_r,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"45.5437,49.0049,-124.7494,-116.9161",
"Washington, United States of America",Washington,tcdc,flag,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"45.5437,49.0049,-124.7494,-116.9161",
"Washington, United States of America",Washington,tcdc,gist_earth,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"45.5437,49.0049,-124.7494,-116.9161",
"Washington, United States of America",Washington,tcdc,gist_heat_r,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"45.5437,49.0049,-124.7494,-116.9161",
"Washington, United States of America",Washington,tcdc,gist_ncar,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"45.5437,49.0049,-124.7494,-116.9161",
"Washington, United States of America",Washington,tcdc,gist_stern_r,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"45.5437,49.0049,-124.7494,-116.9161",
"Washington, United States of America",Washington,tcdc,gist_yarg,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"45.5437,49.0049,-124.7494,-116.9161",
"Washington, United States of America",Washington,tcdc,Greys,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"45.5437,49.0049,-124.7494,-116.9161",
"Washington, United States of America",Washington,tcdc,ocean_r,4,0.25,19790101,20090101,tcdc,monthly,11,14,150,0.25,1,#000000,cmyk,11x14,"45.5437,49.0049,-124.7494,-116.9161",
