address,state,measure,cmap,zoom,stroke_width,time_start,time_end,measurement_value,time_resolution,width,height,dpi,bleed,border,colorspace,prefix,geo_range,flag
"Alabama, United States of America",Alabama,tcdc,Greys,4,0.25,19790101,19800101,tcdc,monthly,24,36,150,0.25,1,cmyk,,"30.1941,35.0079,-88.4731,-84.8884",skip
"Alaska, United States of America",Alaska,tcdc,Greys,4,0.25,19790101,19800101,tcdc,monthly,24,36,150,0.25,1,cmyk,,"51.2097,71.441,-179.1505,-129.9795",skip
"Arizona, United States of America",Arizona,tcdc,Greys,4,0.25,19790101,19800101,tcdc,monthly,24,36,150,0.25,1,cmyk,,"31.332,37.0037,-114.8164,-109.045",skip
"Arkansas, United States of America",Arkansas,tcdc,Greys,4,0.25,19790101,19800101,tcdc,monthly,24,36,150,0.25,1,cmyk,,"33.0042,36.4996,-94.6192,-89.6419",skip
"California, United States of America",California,tcdc,Greys,4,0.25,19790101,19800101,tcdc,monthly,24,36,150,0.25,1,cmyk,,"32.5343,42.0095,-124.4096,-114.1308",skip
"Colorado, United States of America",Colorado,tcdc,Greys,4,0.25,19790101,19800101,tcdc,monthly,24,36,150,0.25,1,cmyk,,"36.9923,41.0035,-109.0604,-102.0415",skip
"Connecticut, United States of America",Connecticut,tcdc,Greys,4,0.25,19790101,19800101,tcdc,monthly,24,36,150,0.25,1,cmyk,,"40.9805,42.0504,-73.7279,-71.7872",skip
"Delaware, United States of America",Delaware,tcdc,Greys,4,0.25,19790101,19800101,tcdc,monthly,24,36,150,0.25,1,cmyk,,"38.451,39.8395,-75.7886,-75.0489",skip
"Florida, United States of America",Florida,tcdc,Greys,4,0.25,19790101,19800101,tcdc,monthly,24,36,150,0.25,1,cmyk,,"24.521,31.001,-87.6348,-80.0307",skip
"Georgia, United States of America",Georgia,tcdc,Greys,4,0.25,19790101,19800101,tcdc,monthly,24,36,150,0.25,1,cmyk,,"30.3556,35.0009,-85.6052,-80.8407",skip
"Hawaii, United States of America",Hawaii,tcdc,Greys,4,0.25,19790101,19800101,tcdc,monthly,24,36,150,0.25,1,cmyk,,"18.9117,22.2356,-160.2471,-154.8066",skip
"Idaho, United States of America",Idaho,tcdc,Greys,4,0.25,19790101,19800101,tcdc,monthly,24,36,150,0.25,1,cmyk,,"41.988,49.0009,-117.2431,-111.0434",skip
"Illinois, United States of America",Illinois,tcdc,Greys,4,0.25,19790101,19800101,tcdc,monthly,24,36,150,0.25,1,cmyk,,"36.9701,42.5084,-91.5129,-87.4952",skip
"Indiana, United States of America",Indiana,tcdc,Greys,4,0.25,19790101,19800101,tcdc,monthly,24,36,150,0.25,1,cmyk,,"37.7717,41.7607,-88.0975,-84.7846",skip
"Iowa, United States of America",Iowa,tcdc,Greys,4,0.25,19790101,19800101,tcdc,monthly,24,36,150,0.25,1,cmyk,,"40.3755,43.501,-96.6394,-90.1404",skip
"Kansas, United States of America",Kansas,tcdc,Greys,4,0.25,19790101,19800101,tcdc,monthly,24,36,150,0.25,1,cmyk,,"36.9929,40.0033,-102.0518,-94.5886",skip
"Kentucky, United States of America",Kentucky,tcdc,Greys,4,0.25,19790101,19800101,tcdc,monthly,24,36,150,0.25,1,cmyk,,"36.4968,39.1481,-89.4168,-81.965",skip
"Louisiana, United States of America",Louisiana,tcdc,Greys,4,0.25,19790101,19800101,tcdc,monthly,24,36,150,0.25,1,cmyk,,"28.9287,33.0197,-94.0434,-88.8165",skip
"Maine, United States of America",Maine,tcdc,Greys,4,0.25,19790101,19800101,tcdc,monthly,24,36,150,0.25,1,cmyk,,"43.0648,47.4598,-71.0843,-66.9406",skip
"Maryland, United States of America",Maryland,tcdc,Greys,4,0.25,19790101,19800101,tcdc,monthly,24,36,150,0.25,1,cmyk,,"37.912,39.7231,-79.4872,-75.0492",skip
"Massachusetts, United States of America",Massachusetts,tcdc,Greys,4,0.25,19790101,19800101,tcdc,monthly,24,36,150,0.25,1,cmyk,,"41.2381,42.8868,-73.5081,-69.9282",skip
"Michigan, United States of America",Michigan,tcdc,Greys,4,0.25,19790101,19800101,tcdc,monthly,24,36,150,0.25,1,cmyk,,"41.696,48.191,-90.4185,-82.4184",skip
"Minnesota, United States of America",Minnesota,tcdc,Greys,4,0.25,19790101,19800101,tcdc,monthly,24,36,150,0.25,1,cmyk,,"43.4993,49.3853,-97.2399,-89.4918",skip
"Mississippi, United States of America",Mississippi,tcdc,Greys,4,0.25,19790101,19800101,tcdc,monthly,24,36,150,0.25,1,cmyk,,"30.1739,34.9962,-91.6499,-88.0976",skip
"Missouri, United States of America",Missouri,tcdc,Greys,4,0.25,19790101,19800101,tcdc,monthly,24,36,150,0.25,1,cmyk,,"35.9042,40.6136,-95.7744,-89.0987",skip
