address,state,measure,cmap,zoom,stroke_width,time_start,time_end,measurement_value,time_resolution,width,height,dpi,bleed,border,mat_color,colorspace,prefix,geo_range,flag,lat_min,lat_max,lon_min,lon_max,aspect,shape,lat_min_zoom,lat_max_zoom,lon_min_zoom,lon_max_zoom
"Delaware, United States of America",DE,tcdc,afmhot,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,#000000,cmyk,mockup_18x24,"38.451,39.8395,-75.7886,-75.0489",skip,38.451,39.8395,-75.7886,-75.0489,0.532733165,Rectangular,38.89525,39.39525,-75.66875,-75.16875
"New Jersey, United States of America",NJ,tcdc,BuGn_r,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,#000000,cmyk,mockup_18x24,"38.9289,41.3576,-75.5598,-73.8937",skip,38.9289,41.3576,-75.5598,-73.8937,0.686004859,Rectangular,39.89325,40.39325,-74.97675,-74.47675
"New Hampshire, United States of America",NH,tcdc,BrBG,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,#000000,cmyk,mockup_18x24,"42.6971,45.3053,-72.5573,-70.7086",skip,42.6971,45.3053,-72.5573,-70.7086,0.708803006,Rectangular,43.7512,44.2512,-71.88295,-71.38295
"Illinois, United States of America",IL,tcdc,CMRmap,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,#000000,cmyk,mockup_18x24,"36.9701,42.5084,-91.5129,-87.4952",skip,36.9701,42.5084,-91.5129,-87.4952,0.725439214,Rectangular,39.48925,39.98925,-89.75405,-89.25405
"Mississippi, United States of America",MS,tcdc,ocean_r,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,#000000,cmyk,mockup_18x24,"30.1739,34.9962,-91.6499,-88.0976",skip,30.1739,34.9962,-91.6499,-88.0976,0.736640192,Rectangular,32.33505,32.83505,-90.12375,-89.62375
"Alabama, United States of America",AL,tcdc,gist_ncar,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,#000000,cmyk,mockup_18x24,"30.1941,35.0079,-88.4731,-84.8884",skip,30.1941,35.0079,-88.4731,-84.8884,0.744671569,Rectangular,32.351,32.851,-86.93075,-86.43075
"Indiana, United States of America",IN,tcdc,cool_r,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,#000000,cmyk,mockup_18x24,"37.7717,41.7607,-88.0975,-84.7846",skip,37.7717,41.7607,-88.0975,-84.7846,0.830508899,Rectangular,39.5162,40.0162,-86.69105,-86.19105
"Nevada, United States of America",NV,tcdc,Blues,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,#000000,cmyk,mockup_18x24,"35.0023,42.0018,-120.0058,-114.0394",skip,35.0023,42.0018,-120.0058,-114.0394,0.852403743,Rectangular,38.25205,38.75205,-117.2726,-116.7726
"Vermont, United States of America",VT,tcdc,YlGnBu,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,#000000,cmyk,mockup_18x24,"42.7268,45.0165,-73.4382,-71.4651",skip,42.7268,45.0165,-73.4382,-71.4651,0.861728611,Rectangular,43.62165,44.12165,-72.70165,-72.20165
"Rhode Island, United States of America",RI,tcdc,gist_ncar,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,#000000,cmyk,mockup_18x24,"41.1461,42.0191,-71.8865,-71.1207",skip,41.1461,42.0191,-71.8865,-71.1207,0.87720504,Rectangular,41.3326,41.8326,-71.7536,-71.2536
