address,state,measure,cmap,zoom,stroke_width,time_start,time_end,measurement_value,time_resolution,width,height,dpi,bleed,mat_width,pad_width,mat_color,zoom_px,colorspace,prefix,geo_range,flag,lat_min,lat_max,lon_min,lon_max,aspect,shape
"Delaware, United States of America",DE,tcdc,afmhot,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,0.25,#000000,800,cmyk,mockup_18x24,"38.451,39.8395,-75.7886,-75.0489",,38.451,39.8395,-75.7886,-75.0489,0.532733165,Rectangular
"New Jersey, United States of America",NJ,tcdc,BuGn_r,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,0.25,#000000,800,cmyk,mockup_18x24,"38.9289,41.3576,-75.5598,-73.8937",,38.9289,41.3576,-75.5598,-73.8937,0.686004859,Rectangular
"New Hampshire, United States of America",NH,tcdc,BrBG,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,0.25,#000000,800,cmyk,mockup_18x24,"42.6971,45.3053,-72.5573,-70.7086",,42.6971,45.3053,-72.5573,-70.7086,0.708803006,Rectangular
"Illinois, United States of America",IL,tcdc,CMRmap,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,0.25,#000000,800,cmyk,mockup_18x24,"36.9701,42.5084,-91.5129,-87.4952",,36.9701,42.5084,-91.5129,-87.4952,0.725439214,Rectangular
"Mississippi, United States of America",MS,tcdc,ocean_r,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,0.25,#000000,800,cmyk,mockup_18x24,"30.1739,34.9962,-91.6499,-88.0976",,30.1739,34.9962,-91.6499,-88.0976,0.736640192,Rectangular
"Alabama, United States of America",AL,tcdc,gist_ncar,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,0.25,#000000,800,cmyk,mockup_18x24,"30.1941,35.0079,-88.4731,-84.8884",,30.1941,35.0079,-88.4731,-84.8884,0.744671569,Rectangular
"Indiana, United States of America",IN,tcdc,cool_r,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,0.25,#000000,800,cmyk,mockup_18x24,"37.7717,41.7607,-88.0975,-84.7846",,37.7717,41.7607,-88.0975,-84.7846,0.830508899,Rectangular
"Nevada, United States of America",NV,tcdc,Blues,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,0.25,#000000,800,cmyk,mockup_18x24,"35.0023,42.0018,-120.0058,-114.0394",,35.0023,42.0018,-120.0058,-114.0394,0.852403743,Rectangular
"Vermont, United States of America",VT,tcdc,YlGnBu,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,0.25,#000000,800,cmyk,mockup_18x24,"42.7268,45.0165,-73.4382,-71.4651",,42.7268,45.0165,-73.4382,-71.4651,0.861728611,Rectangular
"Rhode Island, United States of America",RI,tcdc,gist_ncar,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,0.25,#000000,800,cmyk,mockup_18x24,"41.1461,42.0191,-71.8865,-71.1207",,41.1461,42.0191,-71.8865,-71.1207,0.87720504,Rectangular
"Idaho, United States of America",ID,tcdc,BuPu_r,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,0.25,#000000,800,cmyk,mockup_18x24,"41.988,49.0009,-117.2431,-111.0434",,41.988,49.0009,-117.2431,-111.0434,0.884042265,Rectangular
"Maine, United States of America",ME,tcdc,gist_heat_r,8,0.25,19790101,20090101,tcdc,monthly,11,14,225,0.25,1,0.25,#000000,800,cmyk,mockup_11x14,"43.0648,47.4598,-71.0843,-66.9406",,43.0648,47.4598,-71.0843,-66.9406,0.942821388,Square
"Utah, United States of America",UT,tcdc,winter_r,8,0.25,19790101,20090101,tcdc,monthly,11,14,225,0.25,1,0.25,#000000,800,cmyk,mockup_11x14,"36.9978,42.0017,-114.0531,-109.0415",,36.9978,42.0017,-114.0531,-109.0415,1.0015388,Square
"Arizona, United States of America",AZ,tcdc,gist_yarg,8,0.25,19790101,20090101,tcdc,monthly,11,14,225,0.25,1,0.25,#000000,800,cmyk,mockup_11x14,"31.332,37.0037,-114.8164,-109.045",,31.332,37.0037,-114.8164,-109.045,1.017578504,Square
"Georgia, United States of America",GA,tcdc,BrBG,8,0.25,19790101,20090101,tcdc,monthly,11,14,225,0.25,1,0.25,#000000,800,cmyk,mockup_11x14,"30.3556,35.0009,-85.6052,-80.8407",,30.3556,35.0009,-85.6052,-80.8407,1.025660345,Square
"New Mexico, United States of America",NM,tcdc,BuPu_r,8,0.25,19790101,20090101,tcdc,monthly,11,14,225,0.25,1,0.25,#000000,800,cmyk,mockup_11x14,"31.3321,37.0002,-109.0502,-103.002",,31.3321,37.0002,-109.0502,-103.002,1.067059508,Square
"California, United States of America",CA,tcdc,ocean_r,8,0.25,19790101,20090101,tcdc,monthly,11,14,225,0.25,1,0.25,#000000,800,cmyk,mockup_11x14,"32.5343,42.0095,-124.4096,-114.1308",,32.5343,42.0095,-124.4096,-114.1308,1.084810875,Square
"Florida, United States of America",FL,tcdc,Blues,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,0.25,#000000,800,cmyk,mockup_18x24,"24.521,31.001,-87.6348,-80.0307",,24.521,31.001,-87.6348,-80.0307,1.173472222,Rectangular
"Ohio, United States of America",OH,tcdc,copper_r,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,0.25,#000000,800,cmyk,mockup_18x24,"38.4031,41.9775,-84.8202,-80.5187",,38.4031,41.9775,-84.8202,-80.5187,1.203418756,Rectangular
"Michigan, United States of America",MI,tcdc,gist_yarg,8,0.25,19790101,20090101,tcdc,monthly,18,24,150,0.25,1,0.25,#000000,800,cmyk,mockup_18x24,"41.696,48.191,-90.4185,-82.4184",,41.696,48.191,-90.4185,-82.4184,1.231732102,Rectangular
