state,address,measure,cmap,zoom,interpolate,stroke_width,time_start,time_end,measurement_value,time_resolution,prefix,aspect,width,height,dpi,bleed,mat_width,pad_width,mat_color,pad_color,zoom_px,colorspace,geo_range,flag
AL,"Alabama, United States of America",tcdc,flag,8,2,0.25,19790101,20090101,tcdc,monthly,listing,Rectangular,18,24,150,0.25,1,0.25,#0A003D,#FFFFFF,800,cmyk,"30.1941,35.0079,-88.4731,-84.8884",
AK,"Alaska, United States of America",tcdc,winter_r,8,1,0.25,19790101,20090101,tcdc,monthly,listing,Rectangular,18,24,150,0.25,1,0.25,#11A384,#FFFFFF,800,cmyk,"51.2097,71.441,-179.1505,-129.9795",
AZ,"Arizona, United States of America",tcdc,afmhot,8,2,0.25,19790101,20090101,tcdc,monthly,listing,Square,11,14,225,0.25,1,0.25,#741E0B,#FFFFFF,800,cmyk,"31.332,37.0037,-114.8164,-109.045",
AR,"Arkansas, United States of America",tcdc,gist_heat_r,8,1,0.25,19790101,20090101,tcdc,monthly,listing,Rectangular,18,24,150,0.25,1,0.25,#482C2F,#FFFFFF,800,cmyk,"33.0042,36.4996,-94.6192,-89.6419",
CA,"California, United States of America",tcdc,CMRmap,8,1,0.25,19790101,20090101,tcdc,monthly,listing,Square,11,14,225,0.25,1,0.25,#3D0B89,#FFFFFF,800,cmyk,"32.5343,42.0095,-124.4096,-114.1308",
CO,"Colorado, United States of America",tcdc,Blues,8,2,0.25,19790101,20090101,tcdc,monthly,listing,Rectangular,18,24,150,0.25,1,0.25,#FFFFFF,#000000,800,cmyk,"36.9923,41.0035,-109.0604,-102.0415",
CT,"Connecticut, United States of America",tcdc,YlGnBu,16,2,0.25,19790101,20090101,tcdc,monthly,listing,Rectangular,18,24,150,0.25,1,0.25,#737467,#FFFFFF,800,cmyk,"40.9805,42.0504,-73.7279,-71.7872",
DE,"Delaware, United States of America",tcdc,cool_r,16,2,0.25,19790101,20090101,tcdc,monthly,listing,Rectangular,18,24,150,0.25,1,0.25,#492B47,#FFFFFF,800,cmyk,"38.451,39.8395,-75.7886,-75.0489",
FL,"Florida, United States of America",tcdc,ocean_r,8,1,0.25,19790101,20090101,tcdc,monthly,listing,Rectangular,18,24,150,0.25,1,0.25,#0B002C,#FFFFFF,800,cmyk,"24.521,31.001,-87.6348,-80.0307",
GA,"Georgia, United States of America",tcdc,BuGn_r,8,1,0.25,19790101,20090101,tcdc,monthly,listing,Square,11,14,225,0.25,1,0.25,#6E7F7B,#FFFFFF,800,cmyk,"30.3556,35.0009,-85.6052,-80.8407",
HI,"Hawaii, United States of America",tcdc,BuGn_r,16,1,0.25,19790101,20090101,tcdc,monthly,listing,Rectangular,18,24,150,0.25,1,0.25,#6E7F7B,#FFFFFF,800,cmyk,"18.9117,22.2356,-160.2471,-154.8066",
ID,"Idaho, United States of America",tcdc,Greys,8,2,0.25,19790101,20090101,tcdc,monthly,listing,Rectangular,18,24,150,0.25,1,0.25,#000000,#FFFFFF,800,cmyk,"41.988,49.0009,-117.2431,-111.0434",
IL,"Illinois, United States of America",tcdc,YlGnBu,8,1,0.25,19790101,20090101,tcdc,monthly,listing,Rectangular,18,24,150,0.25,1,0.25,#737467,#FFFFFF,800,cmyk,"36.9701,42.5084,-91.5129,-87.4952",
IN,"Indiana, United States of America",tcdc,gist_heat_r,8,1,0.25,19790101,20090101,tcdc,monthly,listing,Rectangular,18,24,150,0.25,1,0.25,#482C2F,#FFFFFF,800,cmyk,"37.7717,41.7607,-88.0975,-84.7846",
IA,"Iowa, United States of America",tcdc,gist_stern_r,8,1,0.25,19790101,20090101,tcdc,monthly,listing,Rectangular,18,24,150,0.25,1,0.25,#0D0065,#FFFFFF,800,cmyk,"40.3755,43.501,-96.6394,-90.1404",
KS,"Kansas, United States of America",tcdc,CMRmap,8,2,0.25,19790101,20090101,tcdc,monthly,listing,Rectangular,18,24,150,0.25,1,0.25,#3D0B89,#FFFFFF,800,cmyk,"36.9929,40.0033,-102.0518,-94.5886",
KY,"Kentucky, United States of America",tcdc,BuPu_r,8,1,0.25,19790101,20090101,tcdc,monthly,listing,Rectangular,18,24,150,0.25,1,0.25,#88818E,#FFFFFF,800,cmyk,"36.4968,39.1481,-89.4168,-81.965",
LA,"Louisiana, United States of America",tcdc,gist_earth,8,1,0.25,19790101,20090101,tcdc,monthly,listing,Rectangular,18,24,150,0.25,1,0.25,#3B5C4D,#FFFFFF,800,cmyk,"28.9287,33.0197,-94.0434,-88.8165",
ME,"Maine, United States of America",tcdc,gist_stern_r,8,1,0.25,19790101,20090101,tcdc,monthly,listing,Square,11,14,225,0.25,1,0.25,#0D0065,#FFFFFF,800,cmyk,"43.0648,47.4598,-71.0843,-66.9406",
MD,"Maryland, United States of America",tcdc,YlGnBu,16,2,0.25,19790101,20090101,tcdc,monthly,listing,Rectangular,18,24,150,0.25,1,0.25,#737467,#FFFFFF,800,cmyk,"37.912,39.7231,-79.4872,-75.0492",
MA,"Massachusetts, United States of America",tcdc,ocean_r,16,2,0.25,19790101,20090101,tcdc,monthly,listing,Rectangular,18,24,150,0.25,1,0.25,#0B002C,#FFFFFF,800,cmyk,"41.2381,42.8868,-73.5081,-69.9282",
